"";"stimulus";"bigram2";"bigram1";"semantic_coherence";"freq_B1";"freq_B2";"MBF";"OND1";"OND20";"SND";"SND_dist";"semantic_coh_dist";"LD";"type";"set"
"1";"bepa";"pa";"be";0,28579175;5528243;1730299;3629271;1;1,95;0,671142557;0,328857443;0,71420825;2;"target";"one"
"2";"giva";"va";"gi";0,139429969;1404386;10814498;6109442;1;1,85;0,537924138;0,462075862;0,860570031;2;"target";"one"
"3";"jewo";"wo";"je";0,016374292;872011;10068690;5470350,5;2;2;0,501633514;0,498366486;0,983625708;2;"target";"one"
"4";"jumi";"mi";"ju";0,064906384;455892;2805534;1630713;1;1,85;0,503333646;0,496666354;0,935093616;2;"target";"one"
"5";"kege";"ge";"ke";0,346807895;4969448;13574513;9271980,5;1;1,9;0,636462931;0,363537069;0,653192105;1;"target";"one"
"6";"mezu";"zu";"me";0,216235747;7351730;319435;3835582,5;1;1,95;0,472463716;0,527536284;0,783764253;2;"target";"one"
"7";"vefe";"fe";"ve";0,192518009;13488079;640398;7064238,5;1;1,9;0,583866074;0,416133926;0,807481991;1;"target";"one"
"8";"weto";"to";"we";0,361455557;6786464;3598947;5192705,5;1;1,95;0,615833643;0,384166357;0,638544443;2;"target";"one"
"9";"bege";"ge";"be";0,500038235;5528243;13574513;9551378;1;1,7;0,765221784;0,234778216;0,499961765;1;"foil";"one"
"10";"gimi";"mi";"gi";0,247303611;1404386;2805534;2104960;2;2;0,573679998;0,426320002;0,752696389;1;"foil";"one"
"11";"jeto";"to";"je";0,147920431;872011;3598947;2235479;1;1,95;0,526894933;0,473105067;0,852079569;2;"foil";"one"
"12";"juwo";"wo";"ju";0,122841325;455892;10068690;5262291;1;1,9;0,492545102;0,507454898;0,877158675;2;"foil";"one"
"13";"keva";"va";"ke";0,161581454;4969448;10814498;7891973;1;1,95;0,5370532;0,4629468;0,838418546;2;"foil";"one"
"14";"mefe";"fe";"me";0,317566215;7351730;640398;3996064;1;1,9;0,579664943;0,420335057;0,682433785;1;"foil";"one"
"15";"vepa";"pa";"ve";0,151534549;13488079;1730299;7609189;1;1,9;0,538102196;0,461897804;0,848465451;2;"foil";"one"
"16";"wezu";"zu";"we";0,125406533;6786464;319435;3552949,5;2;2;0,486490552;0,513509448;0,874593467;2;"foil";"one"
"17";"dujo";"jo";"du";0,00272663;926791;600127;763459;1;1,95;0,54529074;0,45470926;0,99727337;2;"target";"two"
"18";"fudi";"di";"fu";0,079978666;179584;5112367;2645975,5;1;1,85;0,558327382;0,441672618;0,920021334;2;"target";"two"
"19";"lefo";"fo";"le";0,276548213;6852025;3609053;5230539;1;1,85;0,489947715;0,510052285;0,723451787;2;"target";"two"
"20";"lutu";"tu";"lu";0,304407181;838118;1606540;1222329;2;2;0,482093621;0,517906379;0,695592819;1;"target";"two"
"21";"noso";"so";"no";0,40758784;2086125;2434270;2260197,5;1;1,9;0,507461433;0,492538567;0,59241216;1;"target";"two"
"22";"nubu";"bu";"nu";0,104830548;658878;775586;717232;2;2;0,492902929;0,507097071;0,895169452;1;"target";"two"
"23";"wivo";"vo";"wi";0,202877494;2003089;5056662;3529875,5;1;1,95;0,550785876;0,449214124;0,797122506;2;"target";"two"
"24";"zopi";"pi";"zo";0,190177907;1481420;1114996;1298208;2;2;0,478300948;0,521699052;0,809822093;2;"target";"two"
"25";"dupi";"pi";"du";0,08476091;926791;1114996;1020893,5;2;2;0,517310847;0,482689153;0,91523909;2;"foil";"two"
"26";"futu";"tu";"fu";0,048275002;179584;1606540;893062;2;2;0,520198232;0,479801768;0,951724998;1;"foil";"two"
"27";"levo";"vo";"le";0,281885209;6852025;5056662;5954343,5;1;1,75;0,54187287;0,45812713;0,718114791;2;"foil";"two"
"28";"lufo";"fo";"lu";0,100630717;838118;3609053;2223585,5;1;1,95;0,478379829;0,521620171;0,899369283;2;"foil";"two"
"29";"nojo";"jo";"no";0,149966166;2086125;600127;1343126;1;1,95;0,519645105;0,480354895;0,850033834;1;"foil";"two"
"30";"nudi";"di";"nu";0,243085362;658878;5112367;2885622,5;1;1,9;0,539275894;0,460724106;0,756914638;2;"foil";"two"
"31";"wibu";"bu";"wi";0,182805911;2003089;775586;1389337,5;1;1,95;0,484496137;0,515503863;0,817194089;2;"foil";"two"
"32";"zoso";"so";"zo";0,29068933;1481420;2434270;1957845;1;1,95;0,521045503;0,478954497;0,70931067;1;"foil";"two"
